"group","colour"
"CD4","salmon4"
"CD8","coral1"
"CD4-TRM","#AB2626"
"CD4-TRM-like","#E0A119"
"CD8-TRM","#AB2626"
"CD4-Teff","#FFDD00"
"CD4-Treg","#32A852"
"CD4-TFH","#00B0F0"
"Unstim","#018001"
"Stim","#910000"
"Stim-Unstim","#0044ab"
"MA","#96A9D9"
"SA","#FF6E69"
"CD4-TRM_Unstim","#AF3232"
"CD4-TRM-like_Unstim","#E1A626"
"CD8-TRM_Unstim","#AF3232"
"CD4-Teff_Unstim","#FFDF0F"
"CD4-Treg_Unstim","#3EAD5C"
"CD4-TFH_Unstim","#0FB4F0"
"CD4-TRM_Stim","#B43F3F"
"CD4-TRM-like_Stim","#E3AC34"
"CD4-Teff_Stim","#FFE11E"
"CD8-TRM_Stim","#B43F3F"
"CD4-Treg_Stim","#4AB266"
"CD4-TFH_Stim","#1EB9F1"
"CD4-TRM_MA","#B94C4C"
"CD4-TRM_SA","#BE5959"
"CD4-TRM-like_MA","#E5B141"
"CD4-TRM-like_SA","#E7B74F"
"CD8-TRM_SA","#B94C4C"
"CD4-Teff_MA","#FFE32D"
"CD4-Teff_SA","#FFE53C"
"CD8-TRM_MA","#BE5959"
"CD4-Treg_MA","#56B770"
"CD4-Treg_SA","#62BC7A"
"CD4-TFH_MA","#2DBDF2"
"CD4-TFH_SA","#3CC2F3"
"CD4-TRM_Unstim_MA","#C36565"
"CD4-TRM_Unstim_SA","#C87272"
"CD4-TRM-like_Unstim_MA","#E9BC5C"
"CD4-TRM-like_Unstim_SA","#EAC26A"
"CD8-TRM_Unstim_SA","#C36565"
"CD4-Teff_Unstim_MA","#FFE74B"
"CD4-Teff_Unstim_SA","#FFE959"
"CD8-TRM_Unstim_MA","#C87272"
"CD4-Treg_Unstim_MA","#6EC184"
"CD4-Treg_Unstim_SA","#7AC68F"
"CD4-TFH_Unstim_MA","#4BC7F4"
"CD4-TFH_Unstim_SA","#59CBF5"
"CD4-TRM_Stim_MA","#CD7F7F"
"CD4-TRM_Stim_SA","#D28C8C"
"CD4-TRM-like_Stim_MA","#ECC777"
"CD4-TRM-like_Stim_SA","#EECD85"
"CD4-Teff_Stim_SA","#FFEB69"
"CD4-Teff_Stim_MA","#FFED78"
"CD8-TRM_Stim_MA","#CD7F7F"
"CD8-TRM_Stim_SA","#D28C8C"
"CD4-Treg_Stim_SA","#86CB99"
"CD4-Treg_Stim_MA","#92D0A3"
"CD4-TFH_Stim_MA","#69D0F6"
"CD4-TFH_Stim_SA","#78D5F7"
"CD4-nonTRM","darkseagreen4"
"Male","#00bb00"
"Female","#bb00bb"
"Ex_smoker","indianred4"
"Never_Smoked","plum4"
"Current_Smoker","lightcoral"
"N","plum3"
"Y","yellow2"
"Childhood","lightsteelblue"
"Late","darkolivegreen4"
"None","thistle4"
"Mepolizumab","darkviolet"
"Omalizumab","salmon1"
"Atop_nonT2_nonEos","purple"
"Atop_T2high_Eos","magenta"
"nonAtop_T2high_Eos","sienna2"
"nonAtop_nonT2_nonEos","pink3"
"T2high_Eos","coral4"
"CD4-TRMnCD4-TRM-like","#F8766D"
"CD4-TRM-likenCD4-Teff","#00BA38"
"CD4-TRMnCD4-Teff","#619CFF"
